"","Variables","Description"
"1","inpatient.number","The patient unique ID"
"2","DestinationDischarge","Destination of hospital discharge, recorded after discharge"
"3","admission.ward","first admission ward"
"4","admission.way","possible ways of admission are Emergency vs. non-emergency"
"5","occupation","occupation"
"6","discharge.department","the patient discharged from"
"7","visit.times","the number of hospital admissions before this hospitalization"
"8","gender","gender: Male, Female"
"9","body.temperature","body temperature in degrees celsius"
"10","pulse","pulse rate (beats per minute)"
"11","respiration","respiratory rate (breaths/min)"
"12","systolic.blood.pressure","systolic blood pressure (mmHg)"
"13","diastolic.blood.pressure","diastolic blood pressure (mmHg)"
"14","map","mean arterial pressure (mmHg)"
"15","weight","weight (kg)"
"16","height","height (m)"
"17","BMI","BMI (kg/m^2)"
"18","type.of.heart.failure","type of heart failure (left, right, both)"
"19","NYHA.cardiac.function.classification","NYHA.cardiac.function.classification"
"20","Killip.grade","Killip.grade: Class 1 No rales, no 3rd heart sound; Class 2 Rales in <1⁄2 lung field or presence of a 3rd heart sound; Class 3 Rales in >1⁄2 lung field–pulmonary edema;Class 4 Cardiogenic shock–determined clinically"
"21","myocardial.infarction","myocardial.infarction"
"22","congestive.heart.failure","congestive heart failure (e.g., A minority of patients were not coded as having the diagnosis of “congestive heart failure” in the comorbidity list because they did not have past history of congestive heart failure on admission. They were diagnosed with HF for the first time in this index hospitalization.)"
"23","peripheral.vascular.disease","peripheral.vascular.disease"
"24","cerebrovascular.disease","cerebrovascular.disease"
"25","dementia","dementia"
"26","Chronic.obstructive.pulmonary.disease","Chronic.obstructive.pulmonary.disease"
"27","connective.tissue.disease","connective.tissue.disease"
"28","peptic.ulcer.disease","peptic.ulcer.disease"
"29","diabetes","diabetes"
"30","moderate.to.severe.chronic.kidney.disease","moderate to severe chronic kidney disease with Glomerular filtration rate < 60 ml/min"
"31","hemiplegia","hemiplegia"
"32","leukemia","leukemia"
"33","malignant.lymphoma","malignant.lymphoma"
"34","solid.tumor","solid.tumor"
"35","liver.disease","liver.disease"
"36","AIDS","AIDS"
"37","CCI.score","Charlson Comorbidity Index score"
"38","type.II.respiratory.failure","type.II.respiratory.failure"
"39","consciousness","consciousness"
"40","eye.opening","eye.opening"
"41","verbal.response","verbal.response"
"42","movement","movement"
"43","respiratory.support.","respiratory support defined as the use of either invasive or non-invasive mechanical ventilation"
"44","oxygen.inhalation","oxygen.inhalation"
"45","fio2","fraction of inspired oxygenation (%)"
"46","acute.renal.failure","presence of acute kidney injury defined as Increase of serum creatinine ≥ 0.3 mg per dL (26.52 μmol per L) or ≥ 1.5- to twofold from baseline, or urine output < 0.5 mL per kg per hour for more than six hours"
"47","LVEF","Left Ventricular Ejection Fraction (%), normal range: 55% - 70%"
"48","left.ventricular.end.diastolic.diameter.LV","left.ventricular.end.diastolic.diameter.LV (cm), normal range: 3.5 - 5.6 cm"
"49","mitral.valve.EMS","maximum velocity of the mitral.valve E wave (m/s)"
"50","mitral.valve.AMS","maximum velocity of the mitral.valve A wave (m/s)"
"51","EA","E/A ratio, normal range: 0.6-1.32"
"52","tricuspid.valve.return.velocity","tricuspid.valve.return.velocity (m/s)"
"53","tricuspid.valve.return.pressure","tricuspid.valve.return.pressure (mmHg)"
"54","outcome.during.hospitalization","outcome during hospitalization, recorded after the decision of discharge was made ( living vs. died in the hospital)"
"55","death.within.28.days","death.within.28.days"
"56","re.admission.within.28.days","re.admission.within.28.days"
"57","death.within.3.months","death.within.3.months"
"58","re.admission.within.3.months","re.admission.within.3.months"
"59","death.within.6.months","death.within.6.months"
"60","re.admission.within.6.months","re.admission.within.6.months"
"61","time.of.death..days.from.admission.","time.of.death..days.from.admission."
"62","re.admission.time..days.from.admission.","re.admission.time..days.from.admission."
"63","return.to.emergency.department.within.6.months","return.to.emergency.department.within.6.months"
"64","time.to.emergency.department.within.6.months","time.to.emergency.department.within.6.months"
"65","creatinine.enzymatic.method","creatinine (enzymatic method, umol/l); normal range:44-110 umol/L "
"66","urea","urea (mmol/l), ref:1.7 - 8.3 mmol/L"
"67","uric.acid","uric.acid (umol/L); ref: 150 - 440 umol/L"
"68","glomerular.filtration.rate","glomerular.filtration.rate (mL/min/1.73 m^2); ref: 90 -120"
"69","cystatin","cystatin (mg/L); ref:0.51–0.98"
"70","white.blood.cell","white blood cell count (*10^9/L); ref: 4 -10"
"71","monocyte.ratio","monocyte.ratio (%); ref: 3 -11.4"
"72","monocyte.count","monocyte.count (*10^9/L); ref:0.2 - 0.8"
"73","red.blood.cell","red blood cell count (*10^12/L); ref: 3.5 - 5.5"
"74","coefficient.of.variation.of.red.blood.cell.distribution.width","coefficient of variation of.red.blood.cell.distribution.width(%); ref: 0 -15"
"75","standard.deviation.of.red.blood.cell.distribution.width","standard.deviation.of.red.blood.cell.distribution.width (fL); ref: 40 - 53"
"76","mean.corpuscular.volume","mean.corpuscular.volume (fL); ref: 82 - 96"
"77","hematocrit","hematocrit(%); ref: 35 - 50"
"78","lymphocyte.count","lymphocyte.count (*10^9/L); ref:0.8 - 4"
"79","mean.hemoglobin.volume","mean.hemoglobin.content(pg); ref: 27 - 35"
"80","mean.hemoglobin.concentration","mean.hemoglobin.concentration (g/L); ref: 320 - 360"
"81","mean.platelet.volume","mean.platelet.volume(fL); ref: 6.5 - 12"
"82","basophil.ratio","basophil.ratio; ref: 0 -1"
"83","basophil.count","basophil.count(*10^9/L); ref: 0 - 0.1"
