C1,C2,Relation,,,
total.carbon.dioxide,measured.bicarbonate,0.9992118,5,,5
oxygen.saturation,reduced.hemoglobin,0.9988878,2,,2
prothrombin.time.ratio,international.normalized.ratio,0.9970287,1,,1
standard.bicarbonate,measured.residual.base,0.9965273,4,,4
reduced.hemoglobin,oxyhemoglobin,0.9950913,2,,2
oxyhemoglobin,oxygen.saturation,0.9946042,2,,2
measured.residual.base,standard.residual.base,0.9925417,4,,5
standard.bicarbonate,standard.residual.base,0.9914613,4,,5
hemoglobin,hematocrit,0.9852921,4,,4
measured.bicarbonate,standard.residual.base,0.9765414,5,,5
neutrophil.count,white.blood.cell,0.9753306,1,,1
total.carbon.dioxide,standard.residual.base,0.9680536,5,,5
measured.bicarbonate,standard.bicarbonate,0.9493921,5,,4
measured.residual.base,measured.bicarbonate,0.9452412,4,,5
hematocrit.blood.gas,total.hemoglobin,0.9441411,3,,3
platelet,platelet.hematocrit,0.9409183,1,,1
mean.hemoglobin.volume,mean.corpuscular.volume,0.9408547,1,,1
GCS,verbal.response,0.9401631,3,,2
standard.bicarbonate,total.carbon.dioxide,0.9373257,4,,5
total.carbon.dioxide,measured.residual.base,0.9327738,5,,4
total.bilirubin,direct.bilirubin,0.9321479,2,,1
movement,GCS,0.9291131,1,,3
indirect.bilirubin,total.bilirubin,0.928269,1,,2
map,diastolic.blood.pressure,0.9258049,2,,1
eosinophil.ratio,eosinophil.count,0.923977,1,,1
hydroxybutyrate.dehydrogenase,lactate.dehydrogenase,0.921205,1,,2
eye.opening,GCS,0.9020487,3,,3
low.density.lipoprotein.cholesterol,cholesterol,0.8982269,1,,1
map,systolic.blood.pressure,0.897095,2,,1
hemoglobin,total.hemoglobin,0.8940216,4,,3
total.hemoglobin,hematocrit,0.8816837,3,,4
chloride.ion,chloride,0.8792579,1,,1
verbal.response,eye.opening,0.8710708,2,,3
hematocrit,red.blood.cell,0.8706709,4,,2
sodium,sodium.ion,0.8683208,1,,1
glutamic.oxaloacetic.transaminase,lactate.dehydrogenase,0.8640209,1,,2
hemoglobin,hematocrit.blood.gas,0.8444307,4,,3
potassium.ion,potassium,0.8391004,1,,1
hemoglobin,red.blood.cell,0.8374229,4,,2
eye.opening,consciousness,0.8342621,3,,1
hematocrit,hematocrit.blood.gas,0.8338791,4,,3
measured.bicarbonate,carbon.dioxide.binding.capacity,0.8330908,5,,3
carbon.dioxide.binding.capacity,total.carbon.dioxide,0.8318037,3,,5
standard.residual.base,carbon.dioxide.binding.capacity,0.8190901,5,,3
basophil.ratio,basophil.count,0.8188928,1,,1
