,,0
total.carbon.dioxide,measured.bicarbonate,0.999211761254716
measured.bicarbonate,total.carbon.dioxide,0.999211761254716
reduced.hemoglobin,oxygen.saturation,0.9988877950765168
oxygen.saturation,reduced.hemoglobin,0.9988877950765168
prothrombin.time.ratio,international.normalized.ratio,0.9970287196646288
international.normalized.ratio,prothrombin.time.ratio,0.9970287196646288
measured.residual.base,standard.bicarbonate,0.9965273028436183
standard.bicarbonate,measured.residual.base,0.9965273028436183
oxyhemoglobin,reduced.hemoglobin,0.9950912805871388
reduced.hemoglobin,oxyhemoglobin,0.9950912805871388
oxygen.saturation,oxyhemoglobin,0.9946041741379952
oxyhemoglobin,oxygen.saturation,0.9946041741379952
measured.residual.base,standard.residual.base,0.9925417214911356
standard.residual.base,measured.residual.base,0.9925417214911356
standard.residual.base,standard.bicarbonate,0.9914612516656665
standard.bicarbonate,standard.residual.base,0.9914612516656665
hemoglobin,hematocrit,0.9852921299168812
hematocrit,hemoglobin,0.9852921299168812
measured.bicarbonate,standard.residual.base,0.9765413789740476
standard.residual.base,measured.bicarbonate,0.9765413789740476
neutrophil.count,white.blood.cell,0.9753305549431336
white.blood.cell,neutrophil.count,0.9753305549431336
standard.residual.base,total.carbon.dioxide,0.9680536030935004
total.carbon.dioxide,standard.residual.base,0.9680536030935004
standard.bicarbonate,measured.bicarbonate,0.949392078127157
measured.bicarbonate,standard.bicarbonate,0.949392078127157
measured.residual.base,measured.bicarbonate,0.9452411796448448
measured.bicarbonate,measured.residual.base,0.9452411796448448
hematocrit.blood.gas,total.hemoglobin,0.9441410968537136
total.hemoglobin,hematocrit.blood.gas,0.9441410968537136
platelet.hematocrit,platelet,0.9409183375378468
platelet,platelet.hematocrit,0.9409183375378468
mean.corpuscular.volume,mean.hemoglobin.volume,0.9408547009167572
mean.hemoglobin.volume,mean.corpuscular.volume,0.9408547009167572
verbal.response,GCS,0.9401630909849508
GCS,verbal.response,0.9401630909849508
total.carbon.dioxide,standard.bicarbonate,0.937325721148004
standard.bicarbonate,total.carbon.dioxide,0.937325721148004
apolipoprotein.B,low.density.lipoprotein.cholesterol,0.9362282224136026
low.density.lipoprotein.cholesterol,apolipoprotein.B,0.9362282224136026
tricuspid.valve.return.velocity,tricuspid.valve.return.pressure,0.9328797856907248
tricuspid.valve.return.pressure,tricuspid.valve.return.velocity,0.9328797856907248
total.carbon.dioxide,measured.residual.base,0.9327738224659564
measured.residual.base,total.carbon.dioxide,0.9327738224659564
total.bilirubin,direct.bilirubin,0.9321479365153033
direct.bilirubin,total.bilirubin,0.9321479365153033
GCS,movement,0.9291131202018608
movement,GCS,0.9291131202018608
indirect.bilirubin,total.bilirubin,0.9282690327581112
total.bilirubin,indirect.bilirubin,0.9282690327581112
diastolic.blood.pressure,map,0.9258049147070267
map,diastolic.blood.pressure,0.9258049147070267
eosinophil.count,eosinophil.ratio,0.923977041561197
eosinophil.ratio,eosinophil.count,0.923977041561197
hydroxybutyrate.dehydrogenase,lactate.dehydrogenase,0.921205038320426
lactate.dehydrogenase,hydroxybutyrate.dehydrogenase,0.921205038320426
eye.opening,GCS,0.902048713729931
GCS,eye.opening,0.902048713729931
low.density.lipoprotein.cholesterol,cholesterol,0.8982268664250143
cholesterol,low.density.lipoprotein.cholesterol,0.8982268664250143
apolipoprotein.A,high.density.lipoprotein.cholesterol,0.897468533066745
high.density.lipoprotein.cholesterol,apolipoprotein.A,0.897468533066745
map,systolic.blood.pressure,0.8970950066540171
systolic.blood.pressure,map,0.8970950066540171
hemoglobin,total.hemoglobin,0.8940215958989409
total.hemoglobin,hemoglobin,0.8940215958989409
apolipoprotein.B,cholesterol,0.8930128591770394
cholesterol,apolipoprotein.B,0.8930128591770394
hematocrit,total.hemoglobin,0.8816837024648878
total.hemoglobin,hematocrit,0.8816837024648878
chloride,chloride.ion,0.8792578816109385
chloride.ion,chloride,0.8792578816109385
eye.opening,verbal.response,0.8710707600265998
verbal.response,eye.opening,0.8710707600265998
red.blood.cell,hematocrit,0.8706708551544824
hematocrit,red.blood.cell,0.8706708551544824
sodium.ion,sodium,0.868320793255125
sodium,sodium.ion,0.868320793255125
lactate.dehydrogenase,glutamic.oxaloacetic.transaminase,0.8640208556785042
glutamic.oxaloacetic.transaminase,lactate.dehydrogenase,0.8640208556785042
hematocrit.blood.gas,hemoglobin,0.8444306845248772
hemoglobin,hematocrit.blood.gas,0.8444306845248772
potassium.ion,potassium,0.8391003673048465
potassium,potassium.ion,0.8391003673048465
red.blood.cell,hemoglobin,0.8374229237825652
hemoglobin,red.blood.cell,0.8374229237825652
eye.opening,consciousness,0.8342620616850521
consciousness,eye.opening,0.8342620616850521
hematocrit,hematocrit.blood.gas,0.8338790820867585
hematocrit.blood.gas,hematocrit,0.8338790820867585
carbon.dioxide.binding.capacity,measured.bicarbonate,0.8330907825321822
measured.bicarbonate,carbon.dioxide.binding.capacity,0.8330907825321822
total.carbon.dioxide,carbon.dioxide.binding.capacity,0.8318036963929547
carbon.dioxide.binding.capacity,total.carbon.dioxide,0.8318036963929547
standard.residual.base,carbon.dioxide.binding.capacity,0.8190901369721916
carbon.dioxide.binding.capacity,standard.residual.base,0.8190901369721916
basophil.ratio,basophil.count,0.818892793157808
basophil.count,basophil.ratio,0.818892793157808
carbon.dioxide.binding.capacity,measured.residual.base,0.7964773757698003
